start_date,distance [km],average_speed [km/h],max_speed [km/h],moving_time [min],total_elevation_gain [m],type,gear_id,kilojoules
2022-06-21T14:09:44Z,12.381,19.1304,43.0776,38.83,70.3,Ride,b10386566,295.4
2022-06-21T04:58:13Z,12.7799,18.680400000000002,48.9276,41.05,90.9,Ride,b10386566,365.6
2022-06-20T14:44:05Z,21.3298,8.874,95.6088,144.2,78.8,Ride,b10386566,908.6
2022-06-20T05:30:06Z,13.5372,17.9568,45.2448,45.23,96.4,Ride,b10386566,386.5
2022-06-19T12:29:05Z,7.5526,13.8636,35.856,32.68,88.2,Ride,b10386566,236.4
2022-06-15T14:36:36Z,13.2054,16.1316,45.446400000000004,49.12,110.1,Ride,b10386566,348.0
2022-06-15T04:59:30Z,12.952,18.482400000000002,35.604000000000006,42.05,96.5,Ride,b10386566,350.9
2022-06-14T14:32:06Z,41.470099999999995,12.0528,50.486399999999996,206.47,302.0,Ride,b10386566,1534.5
2022-06-14T05:24:09Z,13.067,15.649200000000002,48.546,50.1,91.0,Ride,b10386566,467.4
2022-06-08T14:05:25Z,21.430400000000002,17.812800000000003,46.4184,72.18,202.2,Ride,b10386566,628.7
2022-06-08T04:40:36Z,13.0755,19.2456,87.77520000000001,40.77,91.2,Ride,b10386566,346.2
2022-06-05T17:53:24Z,13.786299999999999,14.364,42.9696,57.58,112.4,Ride,b10386566,423.6
2022-06-05T10:17:42Z,31.1891,15.368400000000001,46.303200000000004,121.77,96.7,Ride,b10386566,799.6
2022-05-31T14:19:34Z,20.852,18.8712,48.7872,66.3,144.4,Ride,b10386566,527.1
2022-05-31T05:12:19Z,13.232299999999999,17.9496,52.2864,44.23,96.7,Ride,b10386566,379.9
2022-05-30T14:11:33Z,12.996,17.9676,38.3328,43.4,74.8,Ride,b10386566,312.5
2022-05-30T05:15:16Z,12.6491,19.738799999999998,39.2904,38.45,90.5,Ride,b10386566,351.1
2022-05-25T14:22:50Z,12.5205,18.6948,48.4272,40.18,72.4,Ride,b10386566,286.8
2022-05-25T04:55:01Z,13.3874,17.0712,38.6928,47.05,101.5,Ride,b10386566,387.4
2022-05-24T13:46:04Z,12.6426,19.5912,42.4152,38.72,69.8,Ride,b10386566,299.2
2022-05-24T04:43:05Z,12.6298,19.0872,36.6912,39.7,90.4,Ride,b10386566,329.5
2022-05-22T09:04:37Z,15.2005,11.6136,37.296,78.53,46.9,Ride,b7982751,566.7
2022-05-20T13:13:45Z,12.510399999999999,20.3616,40.5576,36.87,69.6,Ride,b10386566,289.9
2022-05-20T04:47:46Z,13.0656,15.6996,39.1032,49.93,93.4,Ride,b10386566,382.1
2022-05-16T14:13:32Z,36.3754,13.482000000000001,50.9688,161.88,309.1,Ride,b10386566,1120.9
2022-05-16T05:04:49Z,14.4376,17.3304,40.0356,49.98,106.7,Ride,b10386566,398.8
2022-05-14T12:33:21Z,37.5062,15.462,46.7928,145.53,365.9,Ride,b10386566,1085.7
2022-05-13T15:25:06Z,31.967200000000002,16.2396,54.0324,118.1,404.9,Ride,b10386566,929.1
2022-05-13T13:45:41Z,12.7399,17.0892,38.8008,44.73,69.7,Ride,b10386566,286.3
2022-05-13T05:35:47Z,12.2637,18.4248,40.3992,39.93,97.9,Ride,b7982751,440.8
2022-05-11T14:25:17Z,11.9671,19.2924,42.7968,37.22,70.4,Ride,b10386566,276.2
2022-05-11T04:56:10Z,13.2414,15.803999999999998,39.0816,50.27,100.0,Ride,b10386566,391.2
2022-05-10T14:06:20Z,12.609200000000001,18.5652,40.896,40.75,66.6,Ride,b10386566,308.2
2022-05-10T05:03:16Z,12.975,17.8488,35.7192,43.62,96.6,Ride,b10386566,360.1
2022-05-06T13:42:11Z,34.202400000000004,14.1696,44.9172,144.83,346.0,Ride,b7982751,1553.9
2022-05-06T05:07:53Z,13.117799999999999,17.64,36.1368,44.62,94.2,Ride,b10386566,371.9
2022-05-05T14:22:01Z,12.4893,18.8532,46.152,39.75,69.7,Ride,b7982751,377.7
2022-05-05T04:57:24Z,13.0075,17.9064,40.3164,43.58,94.6,Ride,b10386566,375.5
2022-05-04T14:56:17Z,14.997,16.1244,41.868,55.8,134.8,Ride,b10386566,424.5
2022-05-04T04:54:51Z,13.101700000000001,16.520400000000002,38.617200000000004,47.58,96.9,Ride,b10386566,365.1
2022-05-03T14:30:43Z,26.6445,12.373199999999999,48.22560000000001,129.2,262.8,Ride,b10386566,994.7
2022-05-03T04:42:29Z,19.918,20.2608,44.0424,58.98,66.2,Ride,b10386566,485.2
2022-04-27T14:32:40Z,17.2521,12.9204,41.904,80.12,140.4,Ride,b7982751,736.9
2022-04-27T04:44:31Z,13.1509,16.8192,35.52120000000001,46.92,99.1,Ride,b7982751,428.8
2022-04-15T09:12:30Z,65.0182,14.1012,40.32,276.67,771.2,Ride,b7982751,2426.5
2022-04-13T14:12:28Z,18.6277,6.912,43.848,161.7,143.3,Ride,b7982751,1331.2
2022-04-13T05:01:42Z,12.8589,16.8588,31.680000000000003,45.77,97.7,Ride,b7982751,431.4
2022-04-12T15:48:36Z,12.7477,8.7156,35.784,87.75,151.8,Ride,b7982751,575.9
2022-04-08T14:02:08Z,13.7239,17.946,41.1912,45.88,87.2,Ride,b7982751,381.6
2022-04-08T04:41:54Z,12.1673,17.3808,38.8296,42.0,95.4,Ride,b7982751,415.7
2022-03-29T14:02:46Z,12.0325,17.7876,43.632,40.58,71.3,Ride,b7982751,400.9
2022-03-29T04:37:15Z,12.896,17.1756,36.54,45.05,93.9,Ride,b7982751,431.1
2022-03-27T13:47:19Z,21.934900000000003,14.450400000000002,34.308,91.07,237.7,Ride,b7982751,715.6
2022-03-27T08:57:00Z,23.724400000000003,13.9104,36.2736,102.33,449.4,Ride,b7982751,949.6
2022-03-23T15:27:21Z,10.417,16.9848,45.972,36.8,59.9,Ride,b7982751,324.3
2022-03-23T05:55:07Z,13.314,15.498,37.3896,51.55,101.8,Ride,b7982751,437.3
2022-03-21T15:31:58Z,12.1065,18.7632,45.2304,38.72,72.4,Ride,b7982751,400.1
2022-03-21T05:55:06Z,12.7452,15.9192,32.6988,48.03,93.4,Ride,b7982751,434.5
2022-03-13T11:13:50Z,49.1132,11.8116,50.7744,249.45,476.9,Ride,b7982751,2046.9
2022-03-12T09:20:02Z,12.8986,4.1364,20.2788,187.07,284.7,Walk,,
2022-03-05T10:14:49Z,8.867299999999998,4.946400000000001,23.270400000000002,107.58,301.7,BackcountrySki,,
2022-03-03T08:57:08Z,14.464,6.6348,25.632,130.77,195.7,BackcountrySki,,
